mql_id,origin,business_segment,lead_type,lead_behaviour_profile,business_type,won_date
5420aad7fec3549a85876ba1c529bd84,organic_search,pet,online_medium,cat,reseller,
a555fb36b9368110ede0f043dfc3b9a0,referral,car_accessories,industry,eagle,reseller,
327174d3648a2d047e8940d7d15204ca,organic_search,home_appliances,online_big,cat,reseller,
f5fee8f7da74f4887f5bcae2bafb6dd6,paid_search,food_drink,online_small,,reseller,
ffe640179b554e295c167a2f6be528e0,unknown,home_appliances,industry,wolf,manufacturer,
b94fba7670eeb44dce2a0d8eb790e9f5,organic_search,health_beauty,online_medium,,manufacturer,
c3e30ed7ac989117c7e1e719b4ac128f,direct_traffic,computers,online_medium,wolf,reseller,
b02c89251106e1fdd9d92744be9f94f2,unknown,health_beauty,offline,cat,manufacturer,
a90a37898cc5f2718385a2fb981caaff,social,household_utilities,offline,eagle,reseller,
0173e8d8b1d94a355b440fb67388f532,paid_search,household_utilities,online_medium,eagle,manufacturer,
4e4e70d504b4c0006c8287dedc99d0fc,social,construction_tools_house_garden,online_medium,cat,reseller,
408a9c4a79800232ac656249af3162eb,paid_search,construction_tools_house_garden,online_big,cat,reseller,
c556184b3fe2087834850b68fa435cee,direct_traffic,household_utilities,online_medium,cat,reseller,
67455a0673f5cf26deae5b270c003e83,direct_traffic,toys,online_big,wolf,reseller,
ab11f58a6bf7036a656364b0ba68fb74,paid_search,sports_leisure,online_medium,cat,reseller,
bae38661a27f6228ba38c36e766ed769,social,stationery,industry,cat,reseller,
450b97a48568c3118ff397f73abe4e4a,referral,food_drink,online_medium,cat,manufacturer,
9878253904482726e741460a99adba86,organic_search,food_supplement,industry,,manufacturer,
ed3d878bf23177e7075ce07578841047,organic_search,home_decor,online_medium,cat,manufacturer,
119ce5d79e3c006a9e46967bff271cb2,organic_search,health_beauty,online_top,cat,reseller,
1f4e960dc47c49ab5c2a495e00055f64,organic_search,bed_bath_table,offline,,reseller,
05d287893f5f083739da863da2c4b6f8,social,health_beauty,online_small,cat,reseller,
0b97be8b4b408a3a0780a32e0a143a7f,unknown,watches,online_big,,reseller,
2552a7b886c1710f36be92ac29b1362d,unknown,fashion_accessories,online_beginner,,manufacturer,
59c0665c39a2bb9c8776d66f4e8b8f66,direct_traffic,jewerly,online_medium,,manufacturer,
4151b0029636a1c55afcce9283ac7902,organic_search,home_decor,industry,,manufacturer,
fc4166d1b1e192f650ee2d807b54c943,social,pet,online_small,,reseller,
85e43237b3fb87d881c757f44f1b0357,paid_search,household_utilities,industry,shark,reseller,
9ce2e101957dc53e3e89cc8e1599aa60,paid_search,computers,online_beginner,cat,reseller,
9a6b65aedf8177783035f3a53ca21ed1,organic_search,party,online_medium,eagle,manufacturer,
4bb1ec1ff58ad39558e8468054bfc469,organic_search,small_appliances,online_medium,cat,reseller,
c34eb63cd098bf4be03d53462d7ecba2,unknown,food_supplement,online_small,cat,reseller,
e428d5580f729d23e6070e43c492e424,unknown,health_beauty,online_medium,shark,reseller,
e3c91316d8f28b18d96869aebbb7c3ec,organic_search,audio_video_electronics,industry,wolf,reseller,
72e81de94dfc0373b006ca75e9c851a1,paid_search,computers,online_medium,cat,reseller,
1cbfa9c878ef8692c1ae21e4cfa11000,paid_search,pet,industry,cat,manufacturer,
b055fc7de322786cd9ddc996cb6e72ff,organic_search,food_drink,online_medium,cat,manufacturer,
a8d2884db49e0769ad4a0b8dce2e143c,unknown,health_beauty,online_medium,cat,reseller,
d955b97b28c2966211c9de2fe22fefbd,direct_traffic,bed_bath_table,online_beginner,,manufacturer,
1d7cc0f1d0b54eac3609c5222246595b,unknown,car_accessories,online_medium,,reseller,
78f9eb91b8c7b3b3967fab18283ec614,social,health_beauty,online_medium,cat,reseller,
20fcec0873b39b4df3df34140d77d6e7,organic_search,other,other,cat,other,
0a1643cb73c25878cc845d5594059afe,organic_search,fashion_accessories,online_beginner,cat,manufacturer,
92c7eacf759c266a7663d63876d84223,unknown,home_decor,offline,eagle,manufacturer,
f72a53e19c3310188cedd074226312c9,direct_traffic,audio_video_electronics,offline,wolf,reseller,
d25814a309be54d1d2279a4ff921ea28,social,home_decor,online_big,cat,reseller,
e3ed7cb7b47e4079cb9fef895846b3e2,social,home_decor,online_big,cat,manufacturer,
413e4eb37de01f40522e28ecdc268639,unknown,car_accessories,online_medium,,reseller,
c1e598764329cc9c377ef1d029be8ceb,organic_search,food_drink,industry,,manufacturer,
9cca8d684240e24dd459f2d439fae30c,unknown,pet,online_medium,cat,manufacturer,
0d99b130d767e50e22b528261ffe5550,organic_search,food_supplement,online_beginner,cat,reseller,
7c9ac4388867d4cc3f1cf9c05ad7e944,paid_search,audio_video_electronics,online_big,cat,reseller,
2c5d0b35798bffadf8f67ef0af84d183,unknown,construction_tools_house_garden,offline,cat,reseller,
e5860ae00103b3869a25d940345bf0fd,unknown,bags_backpacks,industry,cat,manufacturer,
014c073ef65e4a7ef73acd61cf606164,unknown,construction_tools_house_garden,online_medium,eagle,reseller,
3a91a097116d6c8b32d41e0c81dd1e9c,organic_search,construction_tools_house_garden,online_medium,cat,manufacturer,
1030d227d3fe9ed0555666c4ffd14ab1,social,jewerly,online_small,cat,reseller,
1c69de363482d0cbc9b6da97cb49757a,organic_search,audio_video_electronics,online_small,cat,reseller,
415ae4e297c08fd8790a5b1e1ba8482e,paid_search,home_decor,online_medium,wolf,manufacturer,
a55b94066766f2d29fc22a3bb52d78f6,paid_search,toys,online_big,cat,reseller,
f5da97d441cd42b0b26c10145b71a923,unknown,small_appliances,online_big,cat,reseller,
682e8ae60182137d74d90ada9e0947d8,paid_search,home_office_furniture,offline,cat,manufacturer,
77abef21c838da55e14ffc88016ce91f,organic_search,home_decor,online_medium,,reseller,
46d9834fa62209a6504b2aabe46d7bfb,organic_search,car_accessories,online_medium,cat,reseller,
009ff90f082aaa9fcd6e14caf65c7cc6,paid_search,car_accessories,online_big,cat,reseller,
29b97ecc5839e61efb7bdc25e979d8c6,social,health_beauty,online_medium,cat,reseller,
8d6be534a8bdd08e11efe57c6ce3dd21,organic_search,pet,online_small,cat,reseller,
4979feabd6097fb6100fd36c3c32aae0,direct_traffic,home_decor,online_small,cat,manufacturer,
5985e72b3752e4749926885db1b45be4,unknown,food_drink,offline,,reseller,
048bb2f901e2c6f99bc9d26b78b47129,paid_search,music_instruments,industry,cat,reseller,
58caf27a48e7930aefd5437298d64a70,paid_search,bed_bath_table,online_medium,"cat, wolf",reseller,
2b094148a9d10109b903715267c4dd14,unknown,computers,offline,eagle,reseller,
e5f15cc640c8a7408103dd190ced966c,unknown,pet,online_top,,reseller,
a15880813bd2f137e9f6922cbb7255bf,paid_search,home_decor,online_medium,cat,manufacturer,
3bcc8997df233ab581f30dd65f14698c,unknown,car_accessories,online_big,cat,reseller,
afac78e614dac1a1470030ea55c08eef,paid_search,household_utilities,online_small,cat,reseller,
d0b2ef3bdc9ed0fce3d672ec52dc9c00,unknown,car_accessories,online_medium,cat,reseller,
496515dec2a1c280f145f6ccb34851fb,unknown,audio_video_electronics,online_medium,wolf,reseller,
17c77fd570aa86b74387fae66d9d4edd,unknown,food_drink,industry,,reseller,
cc4ec90b270b9f1de8dc2d8864425252,email,health_beauty,online_medium,cat,reseller,
f0b314f185b80cf35d986e298db53fe3,unknown,computers,online_beginner,cat,reseller,
902a621ebb8a96c516d34a58334eb0ee,unknown,construction_tools_house_garden,online_beginner,,reseller,
a1ad46372861ecf61fdab04c7bf5082e,unknown,home_decor,online_small,cat,reseller,
7893b5468710641ad87f8b4aa1b8777d,organic_search,construction_tools_house_garden,industry,cat,reseller,
a82596c6fd3ed643b18a2a942eb6ddc9,paid_search,computers,online_beginner,,reseller,
36f6d5bde803873f6bffe9949f258935,direct_traffic,home_decor,online_small,cat,reseller,
4ddc45a9de1065695a90e87be37471c0,organic_search,audio_video_electronics,online_medium,wolf,reseller,
d2c1295f655a2d436edda96084211820,email,home_office_furniture,online_medium,wolf,reseller,
1cfef7cfd8d26b1ecb8b0eccca6366ca,unknown,home_decor,online_medium,,manufacturer,
2708ccf204c47df56b5469327e900581,unknown,household_utilities,online_big,,manufacturer,
44ebc4e28c99d8aeaead73b4b70cc5e9,paid_search,home_appliances,online_medium,cat,reseller,
62e44187d92348c552952aa4bf152e90,paid_search,health_beauty,online_medium,cat,reseller,
5931bbfb35cc483290f5dd6a9fda8ee5,social,food_supplement,industry,wolf,manufacturer,
0f2ad81c100f7a6c7475bd26ceb76cbf,organic_search,car_accessories,online_medium,cat,reseller,
cfccca319397a5ea2bb11bd90b0d925d,paid_search,books,online_big,cat,reseller,
7281f75a3496aa1e3643f44cd5773a65,unknown,construction_tools_house_garden,online_big,cat,manufacturer,
1fcceea4a8f4e128f39d1fe92d66a0d9,unknown,household_utilities,,cat,reseller,
1e2a84cd1c6fcd7b7a07f49f1cf7f6cc,organic_search,stationery,industry,"eagle, wolf",reseller,
1ab8d42d9e4a6b86010ac0a10c58fa86,paid_search,home_decor,online_medium,wolf,reseller,
b5372c821691eff5fb470f33af079a64,direct_traffic,household_utilities,industry,,reseller,
165d6a6256273a3430fa4891413ac2f0,organic_search,construction_tools_house_garden,offline,cat,reseller,
de1dbe3b8d524c96d50c30f2467c4bc6,organic_search,car_accessories,online_top,cat,reseller,
4e6e15ac583426150b75fc9b2951c7b1,paid_search,car_accessories,online_big,wolf,reseller,
080261e4427a081fc6e637b654f590ee,social,audio_video_electronics,online_big,cat,reseller,
f9c43d70a22ac65ce5fa816a4c34f8f0,paid_search,baby,online_small,wolf,manufacturer,
42e452a93e736373dd9281c113eff2b7,organic_search,books,online_big,cat,reseller,
67c34b9630469b3c13b7982316ffe7a1,,home_office_furniture,industry,,reseller,
bde34e7721e5a33091503ba45b3f8ea5,organic_search,health_beauty,online_big,cat,reseller,
1124225a47b3f07185073f3df3b449bf,social,home_decor,online_big,wolf,reseller,
ac68bc93ecc07d7daec8ce924ca09b0c,unknown,car_accessories,online_medium,wolf,reseller,
cd46a0224c83d17b825ebc226df3479c,paid_search,household_utilities,offline,eagle,reseller,
3cc3bc10218cf509ba24613cda41d940,social,home_office_furniture,online_beginner,eagle,reseller,
b223756da60ed5012d1d302bc9f50f6e,organic_search,sports_leisure,online_medium,cat,reseller,
4144092976e61a9c32e1c7b205d85452,organic_search,books,online_medium,,manufacturer,
b30be338efa14f74a40949dbafd02b57,social,pet,online_medium,cat,reseller,
7c68935a1dfb1fc8fb714797e7cbf805,unknown,household_utilities,industry,eagle,manufacturer,
8551ef0d517bfc756cb31e0477ac4adc,paid_search,party,offline,cat,manufacturer,
fc0a87e43ede1f423412583293815598,referral,audio_video_electronics,online_beginner,cat,reseller,
57648ec099f2451be828fb2e27d8f46a,social,food_drink,online_medium,cat,reseller,
d768d7e09a6f9ff4146a1659635cf304,unknown,household_utilities,online_big,wolf,reseller,
cdb36ea731ecf2d69881eaff7220b10e,paid_search,audio_video_electronics,online_medium,,reseller,
06bc22c1b089be523e97524b67084ca0,unknown,health_beauty,online_medium,cat,manufacturer,
d6e0ddfc5b05597877a7d5036789a3a1,direct_traffic,home_decor,online_medium,cat,reseller,
66744053f818d4032f5ba881340db020,organic_search,air_conditioning,online_medium,wolf,reseller,
6dcca2f79e4a4672f7c91f58385b4582,paid_search,household_utilities,offline,wolf,reseller,
e73083572cc595460842f5090da94662,paid_search,car_accessories,offline,eagle,reseller,
6fba9ab96aa12c4c9d01e74b66a74485,organic_search,pet,online_small,eagle,reseller,
fa027edbceb48e6657770c2985172201,organic_search,car_accessories,industry,,reseller,
83d5aac46c097426773520489cda201c,paid_search,audio_video_electronics,industry,cat,reseller,
a562fd35af2738ce6d88f785ef4eb134,paid_search,sports_leisure,online_medium,cat,manufacturer,
288ba9abad93ef50e6a76089ae84aab3,organic_search,health_beauty,online_medium,cat,reseller,
