payment_sum,year
136.23,"('2016', 35)"
75.06,"('2016', 36)"
40.95,"('2016', 37)"
52537.0,"('2016', 40)"
7092.389999999999,"('2016', 41)"
61.99,"('2016', 42)"
19.62,"('2016', 51)"
3953.17,"('2017', 1)"
14768.55,"('2017', 2)"
28816.56,"('2017', 3)"
66460.96,"('2017', 4)"
82215.39,"('2017', 5)"
93573.52,"('2017', 6)"
66996.29,"('2017', 7)"
56026.93,"('2017', 8)"
90603.5,"('2017', 9)"
93207.58,"('2017', 10)"
109336.0,"('2017', 11)"
107719.5,"('2017', 12)"
100948.61,"('2017', 13)"
108396.93000000001,"('2017', 14)"
70902.85,"('2017', 15)"
100889.25,"('2017', 16)"
107709.02,"('2017', 17)"
118670.79,"('2017', 18)"
131905.29,"('2017', 19)"
145894.72,"('2017', 20)"
136793.67,"('2017', 21)"
135838.46,"('2017', 22)"
130800.26,"('2017', 23)"
120310.01,"('2017', 24)"
107862.29,"('2017', 25)"
112782.34,"('2017', 26)"
128949.13,"('2017', 27)"
137000.08,"('2017', 28)"
146464.82,"('2017', 29)"
133534.16,"('2017', 30)"
143790.34,"('2017', 31)"
154198.16,"('2017', 32)"
153942.98,"('2017', 33)"
126710.2,"('2017', 34)"
206349.87,"('2017', 35)"
159546.86000000002,"('2017', 36)"
186220.74,"('2017', 37)"
153616.3,"('2017', 38)"
168504.0,"('2017', 39)"
172143.42,"('2017', 40)"
180578.21,"('2017', 41)"
194760.69,"('2017', 42)"
165955.16,"('2017', 43)"
171105.43,"('2017', 44)"
187982.54,"('2017', 45)"
212657.81,"('2017', 46)"
479757.98,"('2017', 47)"
319164.93,"('2017', 48)"
268040.29,"('2017', 49)"
222445.44,"('2017', 50)"
154948.68,"('2017', 51)"
121578.01,"('2017', 52)"
213307.38,"('2018', 1)"
282751.44,"('2018', 2)"
264115.25,"('2018', 3)"
250811.35,"('2018', 4)"
234084.44,"('2018', 5)"
240584.26,"('2018', 6)"
234041.83,"('2018', 7)"
253837.09,"('2018', 8)"
305682.44,"('2018', 9)"
270902.23,"('2018', 10)"
258676.75,"('2018', 11)"
271412.78,"('2018', 12)"
238916.89,"('2018', 13)"
267298.31,"('2018', 14)"
270618.85,"('2018', 15)"
275458.7,"('2018', 16)"
276025.07,"('2018', 17)"
287146.25,"('2018', 18)"
340271.69,"('2018', 19)"
303772.75,"('2018', 20)"
156476.38,"('2018', 21)"
208692.48,"('2018', 22)"
242134.89,"('2018', 23)"
260434.82,"('2018', 24)"
226580.43,"('2018', 25)"
223217.0,"('2018', 26)"
190480.91,"('2018', 27)"
196866.85,"('2018', 28)"
264518.91,"('2018', 29)"
289915.07,"('2018', 30)"
324491.62,"('2018', 31)"
339017.23,"('2018', 32)"
294831.95,"('2018', 33)"
151441.22,"('2018', 34)"
15729.74,"('2018', 35)"
2901.84,"('2018', 36)"
808.46,"('2018', 37)"
276.04,"('2018', 38)"
453.2,"('2018', 39)"
277.93,"('2018', 40)"
311.74,"('2018', 42)"
