date;search_vol;payment_sum
29.08.2016;0;136,23
05.09.2016;39;75,06
12.09.2016;25;40,95
03.10.2016;13;52.537,00
10.10.2016;22;7.092,39
17.10.2016;0;61,99
19.12.2016;0;19,62
02.01.2017;37;3.953,17
09.01.2017;22;14.768,55
16.01.2017;33;28.816,56
23.01.2017;15;66.460,96
30.01.2017;42;82.215,39
06.02.2017;17;93.573,52
13.02.2017;19;66.996,29
20.02.2017;44;56.026,93
27.02.2017;18;90.603,50
06.03.2017;38;93.207,58
13.03.2017;38;109.336,00
20.03.2017;25;107.719,50
27.03.2017;57;100.948,61
03.04.2017;14;108.396,93
10.04.2017;48;70.902,85
17.04.2017;60;100.889,25
24.04.2017;46;107.709,02
01.05.2017;29;118.670,79
08.05.2017;34;131.905,29
15.05.2017;34;145.894,72
22.05.2017;24;136.793,67
29.05.2017;37;135.838,46
05.06.2017;29;130.800,26
12.06.2017;23;120.310,01
19.06.2017;46;107.862,29
26.06.2017;33;112.782,34
03.07.2017;26;128.949,13
10.07.2017;54;137.000,08
17.07.2017;31;146.464,82
24.07.2017;39;133.534,16
31.07.2017;46;143.790,34
07.08.2017;42;154.198,16
14.08.2017;65;153.942,98
21.08.2017;70;126.710,20
28.08.2017;60;206.349,87
04.09.2017;44;159.546,86
11.09.2017;69;186.220,74
18.09.2017;38;153.616,30
25.09.2017;54;168.504,00
02.10.2017;48;172.143,42
09.10.2017;42;180.578,21
16.10.2017;87;194.760,69
23.10.2017;58;165.955,16
30.10.2017;53;171.105,43
06.11.2017;49;187.982,54
13.11.2017;69;212.657,81
20.11.2017;53;479.757,98
27.11.2017;82;319.164,93
04.12.2017;88;268.040,29
11.12.2017;63;222.445,44
18.12.2017;24;154.948,68
25.12.2017;36;121.578,01
01.01.2018;70;213.307,38
08.01.2018;85;282.751,44
15.01.2018;53;264.115,25
22.01.2018;53;250.811,35
29.01.2018;62;234.084,44
05.02.2018;61;240.584,26
12.02.2018;59;234.041,83
19.02.2018;68;253.837,09
26.02.2018;54;305.682,44
05.03.2018;92;270.902,23
12.03.2018;71;258.676,75
19.03.2018;74;271.412,78
26.03.2018;78;238.916,89
02.04.2018;79;267.298,31
09.04.2018;84;270.618,85
16.04.2018;94;275.458,70
23.04.2018;72;276.025,07
30.04.2018;81;287.146,25
07.05.2018;92;340.271,69
14.05.2018;83;303.772,75
21.05.2018;67;156.476,38
28.05.2018;60;208.692,48
04.06.2018;72;242.134,89
11.06.2018;63;260.434,82
18.06.2018;96;226.580,43
25.06.2018;79;223.217,00
02.07.2018;63;190.480,91
09.07.2018;77;196.866,85
16.07.2018;68;264.518,91
23.07.2018;73;289.915,07
30.07.2018;79;324.491,62
06.08.2018;70;339.017,23
13.08.2018;85;294.831,95
20.08.2018;66;151.441,22
27.08.2018;74;15.729,74
03.09.2018;53;2.901,84
10.09.2018;61;808,46
17.09.2018;60;276,04
24.09.2018;58;453,20
01.10.2018;65;277,93
08.10.2018;74;311,74
;;
;;
