id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
3dYD57lRAUcMHufyqn9GcI,0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945,241688
2V4bv1fNWfTcyRJKmej6Sj,0.768,0.82,7,-4.63,0,0.0474,0.179,0.0,0.689,0.625,129.965,213293
7KA4W4McWYRpgf0fWsJZWB,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,180387
4Ub8UsjWuewQrPhuepfVpd,0.679,0.715,9,-6.383,1,0.0407,0.0755,0.0,0.271,0.571,127.435,214148
3ZFTkvIE7kyPt6Nu3PEa7V,0.778,0.824,10,-5.892,0,0.0707,0.284,0.0,0.405,0.758,100.024,218093
7wMq5n8mYSKlQIGECKUgTX,0.421,0.873,10,-4.343,1,0.0564,0.0654,0.0,0.123,0.629,84.786,202533
78W8wiUIlQ2SnWY9TVowKZ,0.497,0.865,0,-3.19,1,0.0644,0.0306,0.0679,0.443,0.595,125.96,174203
6wJwkMo278iWVlWl1XQ4WA,0.616,0.789,7,-4.874,0,0.0377,0.053,0.0,0.142,0.621,83.066,227373
2CEgGE6aESpnmtfiZwYlbV,0.751,0.783,4,-3.724,1,0.0859,0.00379,0.0,0.036,0.816,119.975,202613
71R6zJsrF3ffc3TBFHfivX,0.706,0.842,0,-4.628,0,0.038,0.0476,0.0,0.134,0.818,104.958,224720
6ku3i5WNrsY3qhOq6ua9TL,0.327,0.941,1,-3.294,1,0.353,0.0231,0.0,0.0636,0.707,129.738,199236
2N2QvMYwyYHE8V4KZbbG4i,0.472,0.815,9,-4.002,0,0.319,0.171,0.0,0.265,0.81,98.017,230413
0ltBH1JNzSvQJPjJpvTu9B,0.754,0.933,0,-5.786,1,0.0448,0.0199,0.0,0.297,0.75,103.992,225000
45hOioMDJktr86iKDHC8gr,0.56,0.959,7,-2.433,1,0.102,0.000722,0.000221,0.209,0.669,163.983,216600
6epn3r7S14KUqlReYr77hA,0.728,0.859,5,-5.237,0,0.137,0.0401,0.0,0.111,0.535,65.043,214240
5HE3z4Ew7wZ91l3ZOpGKa4,0.693,0.822,4,-5.441,0,0.0439,0.00616,1.79e-06,0.315,0.763,126.035,223800
1j7GNdjuK5wfmvxCbVcWMY,0.687,0.855,7,-5.341,0,0.0416,0.0486,0.0,0.233,0.647,130.029,218373
69ghzc538EQSVon2Gm3wrr,0.58,0.75,4,-4.421,1,0.194,0.159,0.0,0.274,0.728,86.938,229107
0seHreoI3kwp38OlEgLLnT,0.695,0.628,11,-6.498,0,0.0442,0.0539,0.0,0.32,0.529,144.114,236200
2V65y3PX4DkRhy1djlxd9p,0.612,0.84,11,-3.145,0,0.0509,0.112,0.0,0.116,0.438,129.042,212862
3bidbhpOYeV4knp8AIu8Xn,0.641,0.922,2,-4.457,1,0.0786,0.0291,0.0,0.0862,0.847,146.078,258343
4zuy08yhEhlu5YSTM3WqRD,0.492,0.857,7,-2.634,1,0.0655,0.0841,7.82e-06,0.344,0.393,129.973,222500
62yJjFtgkhUrXktIoSjgP2,0.448,0.784,9,-3.686,1,0.0627,0.106,0.000108,0.668,0.236,136.245,186813
3bC1ahPIYt1btJzSSEyyrF,0.747,0.937,0,-5.746,1,0.0453,0.0208,0.0,0.29,0.739,103.976,224653
05SBRd4fXgn8FX7bf8BCAE,0.695,0.869,8,-5.066,1,0.0483,0.41,0.0,0.237,0.58,124.989,234507
3tgZ9vmhuAY9wEoNUJskzV,0.589,0.966,11,-4.106,1,0.0972,0.03,0.0,0.147,0.802,129.983,204200
2iJuuzV8P9Yz0VSurttIV5,0.772,0.685,5,-6.849,1,0.0696,0.019,8.96e-05,0.131,0.501,130.033,283400
0nrRP2bk19rLc0orkWPQk2,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427
6CjtS2JZH9RkDz5UVInsa9,0.781,0.526,6,-6.986,0,0.293,0.0633,0.0,0.0457,0.665,94.993,235613
0BBZuOGGBj9u4X3rAfmae8,0.691,0.921,8,-1.702,0,0.0533,0.173,0.0,0.331,0.8,130.072,201000
37sINbJZcFdHFAsVNsPq1i,0.49,0.885,3,-4.121,1,0.0396,0.00218,0.0,0.0741,0.64,166.996,245467
3zrYNl1aMdFrQkcOjKVr5u,0.693,0.822,4,-5.441,0,0.0439,0.00616,1.79e-06,0.315,0.763,126.035,223800
1QzFhzIOW7CyRJLpmq5CM0,0.663,0.705,1,-4.972,0,0.0385,0.0654,0.0,0.117,0.477,122.014,257387
03UrZgTINDqvnUMbbIMhql,0.727,0.937,11,-2.871,0,0.286,0.00417,0.0,0.091,0.749,132.067,219493
4yOn1TEcfsKHUJCL2h1r8I,0.668,0.758,7,-3.589,1,0.158,0.0338,0.0,0.204,0.531,135.958,229507
2XMTqoHHSH0lvuXrvIEdco,0.683,0.708,5,-6.244,0,0.0305,0.0398,0.155,0.686,0.355,92.991,237707
43lwHSTEexXRVVeXZtAtfi,0.504,0.912,1,-2.867,1,0.259,0.199,0.0,0.105,0.248,189.983,218539
6LtPIXlIzPOTF8vTecYjRe,0.635,0.647,5,-5.864,1,0.0366,0.192,0.0,0.154,0.201,104.058,262693
0WSjVLITbxV6kVXndziQDm,0.586,0.896,5,-4.132,0,0.372,0.00945,0.836,0.121,0.103,125.744,160000
3P3pw6C19j31Rnzgo3JG7o,0.73,0.861,1,-4.1,1,0.0451,0.39,0.0,0.213,0.704,117.965,196613
6smhpAoDKenJyDztNHf0HH,0.678,0.842,8,-5.37,1,0.0553,0.0414,0.0,0.202,0.493,122.016,204587
3cNjgVBKTJ1SvKhunrCdVy,0.513,0.768,4,-4.868,0,0.0587,0.0118,1.94e-05,0.294,0.235,84.264,210580
6lBQ0SMCrJ7zy1LSCuXqwV,0.504,0.847,7,-6.81,0,0.0442,0.00434,0.0,0.816,0.28,127.854,211890
