id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
209ucYTS6vWEV5iydrHiOt,0.793,0.372,10,-15.491,1,0.0509,0.687,0.573,0.105,0.482,120.134,233544
5je0CDv1Z1hT82Nek1Fjhl,0.578,0.364,2,-15.162,1,0.0441,0.683,0.0539,0.105,0.723,78.073,216227
0Vl9aGb0dmeiCQ2ATgNK2B,0.592,0.761,5,-6.432,0,0.0514,0.614,3.58e-05,0.301,0.843,88.47,159333
0r1Ta1ImfdKXJ0iYqdN3uX,0.437,0.221,11,-20.372,0,0.0452,0.992,0.946,0.104,0.259,130.516,167720
2HgcLPRWFrYEgulCUqgosg,0.726,0.371,7,-11.088,0,0.0681,0.853,1.78e-06,0.114,0.961,89.143,88085
3QKJELWORZZ7rUZDWeMWSA,0.653,0.319,4,-17.813,0,0.0364,0.439,0.0,0.0906,0.845,147.858,138013
6aMmz0HbtjJnvUMteBO2kc,0.536,0.647,3,-9.471,1,0.06,0.574,8.24e-06,0.488,0.788,155.325,164187
36SJ7ZFx8J1f1RsewmUwMX,0.82,0.634,9,-13.816,1,0.0747,0.128,0.0,0.0971,0.716,116.625,216933
204tfkWrfEkzlG6H0iF46C,0.526,0.129,9,-16.818,0,0.0456,0.958,0.000704,0.144,0.335,128.908,253467
37fHxKAICYRDmYaTujdiBl,0.587,0.132,3,-17.782,1,0.039,0.963,0.0166,0.0882,0.437,132.245,306907
15ouqiBsgL12olEwP3COsH,0.654,0.393,3,-13.392,1,0.129,0.865,2.97e-06,0.123,0.533,143.801,214366
6MCaOLDl0epJPRN76H5S4N,0.503,0.622,0,-6.89,1,0.0452,0.64,0.000212,0.575,0.522,97.704,252507
7lOSAvD25iDy2S3kN5vV0L,0.461,0.251,7,-14.056,1,0.0368,0.905,2.31e-05,0.195,0.361,140.984,172960
6MVTHqLBpefPuaODvtU3wd,0.528,0.429,2,-12.407,1,0.0372,0.221,2.33e-06,0.298,0.705,145.344,201680
0yG6Z2Mmu05inHxiQYtyYu,0.477,0.432,10,-15.219,1,0.357,0.946,0.0127,0.139,0.371,121.599,162240
68K8VaazzURRjLf84yaOA3,0.615,0.592,1,-15.665,1,0.0452,0.419,0.71,0.138,0.885,96.325,245200
1AxAPXcUcH3nXXeCeG0kGV,0.657,0.169,5,-16.875,0,0.036,0.898,0.00019,0.0837,0.456,129.772,322333
0yO7Rg00ZJiMMb8pHiBojc,0.715,0.406,4,-17.926,0,0.0573,0.735,0.649,0.11,0.65,104.756,216360
6HZMEUcs4M3JQLEJEeQuyB,0.48,0.459,5,-12.927,0,0.0489,0.777,0.0021,0.0716,0.741,87.3,145227
60k2Wv7M2iJHGan07xAn92,0.591,0.394,7,-14.349,0,0.0466,0.824,0.107,0.356,0.782,124.825,147547
0dWOiVQwoUYTtXD0VVgmJQ,0.563,0.242,4,-16.004,0,0.0327,0.743,0.0,0.166,0.647,87.771,121987
1L9QMIM4agEbJzJiRCd9ZB,0.636,0.159,2,-22.981,0,0.0559,0.977,0.389,0.0831,0.334,113.477,76293
4fTmfK5efjGjADhAUAjgKl,0.522,0.234,7,-18.992,1,0.0456,0.731,0.127,0.163,0.543,90.71,185507
0kfdvJhyb0QHBG1IM9Vlht,0.722,0.208,9,-23.775,0,0.0466,0.481,0.881,0.119,0.88,116.793,189307
6fUDdCkEZdi1xIR6iDBGEF,0.614,0.318,5,-13.359,1,0.0343,0.79,0.0,0.0998,0.57,89.056,144267
7xzMrUmlooPa1Fmp88hlYc,0.575,0.43,8,-13.168,1,0.0363,0.822,0.000661,0.115,0.427,82.691,293640
1tDz1nEb9scAuW4Tth6rsH,0.599,0.216,6,-14.332,0,0.0754,0.93,0.243,0.12,0.601,96.486,217960
75jQTTMlGxJ3zWhrZPpgb6,0.399,0.242,3,-21.4,1,0.0615,0.571,0.89,0.113,0.494,91.251,410693
64uaT8HEjYGCN3MbU5esqK,0.454,0.0957,7,-12.636,1,0.0564,0.904,0.0,0.0996,0.148,73.109,183373
6j4Lx4ZKWhbuBom556ZqlP,0.824,0.0708,8,-19.176,1,0.0592,0.925,0.000919,0.114,0.348,124.054,89427
5vB2GI7YMfd9Y9ITHT8FC8,0.768,0.409,7,-13.448,0,0.0345,0.523,0.0568,0.158,0.597,122.027,129364
55mCj2LMr3csP88djkFpPN,0.298,0.181,11,-20.734,0,0.0333,0.872,0.0909,0.0881,0.102,111.168,387133
3ctsORVoVEDUxLpQAL0zOC,0.833,0.199,0,-13.781,1,0.0518,0.941,0.907,0.114,0.831,110.689,168720
2gQxSl5kxqqYWEsJ8fhAln,0.431,0.192,2,-19.441,1,0.0457,0.986,0.948,0.0838,0.491,128.985,173933
7yYKjc8k6UrqeBig0bDeFy,0.578,0.358,11,-18.297,0,0.185,0.828,0.00335,0.109,0.415,119.197,243787
60TftyBmMIL7wBdM37KuRj,0.518,0.308,0,-13.429,0,0.0451,0.788,0.0571,0.133,0.368,81.149,143427
5xrW9LV5TJQZpqzefvEIfB,0.774,0.359,4,-14.533,0,0.0701,0.88,5.21e-05,0.0838,0.961,87.355,118733
5QolOtPsEh0XNB5oqTvVyO,0.769,0.444,7,-9.287,1,0.0448,0.714,0.0129,0.077,0.692,162.853,144613
