id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
1bDbXMyjaUIooNwFE9wn0N,0.561,0.52,11,-9.342,0,0.244,0.0503,1.86e-06,0.355,0.424,153.15,239360
6XO8RlYuJCiI0v3IA48FeJ,0.645,0.525,3,-5.399,0,0.0355,0.0574,0.0,0.505,0.238,83.018,108499
74loibzxXRL875X20kenvk,0.695,0.555,5,-8.5,0,0.0509,0.141,0.826,0.11,0.26,150.024,83200
2KLwPaRDOB87XOYAT2fgxh,0.749,0.63,4,-6.652,0,0.116,0.0623,0.0,0.353,0.445,122.03,242027
6mM8gri8d2abYYomjOV4ut,0.586,0.689,0,-6.04,1,0.425,0.0434,0.0,0.184,0.456,158.457,110707
4xyFiNH8c2jjUHVtY1X0Fy,0.743,0.623,11,-7.602,0,0.256,0.151,0.0,0.118,0.49,80.055,145500
0VOMBffX1llDu37yQUt3u3,0.474,0.576,1,-6.963,1,0.257,0.00248,0.000309,0.174,0.285,157.947,195197
5JS1gz9zP4GTy0LZYvSeUK,0.884,0.423,6,-10.181,0,0.275,0.115,0.0,0.0895,0.259,95.753,159973
4FyesJzVpA39hbYvcseO2d,0.486,0.545,11,-7.924,1,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,123891
3F5CgOj3wFlRv51JsHbxhe,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,218365
27ZZdyTSQWI7Cug2d2PkqV,0.9,0.509,1,-6.647,1,0.257,0.115,1.67e-06,0.0937,0.765,100.007,99283
4wbs3VlIws0fu2K6yz4Fbm,0.805,0.755,11,-4.616,0,0.272,0.0114,0.0,0.408,0.584,142.927,160000
3LtpKP5abr2qqjunvjlX5i,0.911,0.573,6,-7.43,1,0.288,0.38,0.0,0.403,0.972,140.04,97393
4C6Uex2ILwJi9sZXRdmqXp,0.95,0.891,2,-2.653,1,0.241,0.0645,1.77e-05,0.309,0.912,133.01,170977
7KXVIAuw3m2hxZanrpSXS3,0.791,0.818,0,-3.93,1,0.406,0.0695,0.0,0.114,0.693,159.922,209811
3b8RjEZBJETOvgNF9tybvj,0.784,0.635,1,-7.439,0,0.184,0.0188,0.0,0.13,0.645,86.026,152000
1KaRuTOGchQyTnrY3vWzfR,0.749,0.548,5,-6.223,0,0.352,0.194,0.0,0.16,0.581,153.855,180240
6ug9fUi5oLLgQgOF1G8WkM,0.738,0.666,5,-6.97,0,0.455,0.00361,0.0,0.107,0.215,161.734,177789
48qgXl0CQUVYJVn6xv0rsP,0.907,0.59,5,-6.128,0,0.108,0.18,0.0,0.184,0.681,134.902,199111
1hrvg113cwgp5DUPX8rfEt,0.654,0.547,6,-6.464,0,0.212,0.167,0.0,0.111,0.204,169.886,146811
2ZL7WZcjuYKi1KUDtp4kCC,0.773,0.701,7,-6.386,1,0.0512,0.01,0.0,0.163,0.203,129.963,214589
2TSfStvlAMLw89u3tali79,0.66,0.373,11,-10.234,1,0.595,0.149,0.0,0.106,0.35,167.912,151776
6R6ZS5HYH4RdXkjEwEJO5R,0.85,0.664,6,-8.119,0,0.261,0.322,0.0,0.0475,0.743,144.108,160000
7asQMsxC6dNgY0inCzJC5O,0.808,0.644,1,-6.167,1,0.329,0.0716,0.0,0.085,0.512,151.098,206968
6ja11GoXgF75QkEVqqAadn,0.829,0.644,9,-4.86,1,0.291,0.221,1.04e-06,0.141,0.515,147.151,166515
1O4iilBz8GD8IzVl5M1EsS,0.705,0.688,9,-4.181,1,0.228,0.0515,0.0,0.108,0.31,131.022,207014
3TixPhBqSVrWli36u9op22,0.74,0.544,3,-7.911,0,0.109,0.399,0.0,0.223,0.461,133.056,144427
7l2nxyx7IkBX5orhkALg0V,0.934,0.614,5,-7.384,1,0.198,0.00274,0.0,0.123,0.616,144.045,160821
2A0G0bPmlkUXUbvWqrAXzg,0.785,0.524,1,-7.004,1,0.122,0.0123,0.0,0.365,0.0855,142.007,163454
