id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0V3wPSX9ygBnCm8psDIegu,0.637,0.643,4,-6.571,1,0.0519,0.13,1.8e-06,0.142,0.533,97.008,200690
1bDbXMyjaUIooNwFE9wn0N,0.561,0.52,11,-9.342,0,0.244,0.0503,1.86e-06,0.355,0.424,153.15,239360
4k6Uh1HXdhtusDW5y8Gbvy,0.686,0.494,1,-7.093,1,0.0355,0.613,5.8e-05,0.402,0.7,168.946,232067
3nqQXoyQOWXiESFLlDF1hG,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,156943
73vIOb4Q7YN6HeJTbscRx5,0.587,0.742,6,-6.64,0,0.0529,0.0128,0.00107,0.146,0.199,145.007,206000
1eprzC29mwUQqcVj0eILdx,0.62,0.681,9,-4.915,1,0.356,0.0138,0.0,0.0248,0.741,160.743,162493
1yMXFkzly4LgX8IO7JORlR,0.636,0.77,10,-7.451,0,0.0312,0.0079,0.00238,0.0817,0.441,125.006,176718
3rWDp9tBPQR9z6U5YyRSK4,0.643,0.363,0,-11.738,1,0.0767,0.69,5.17e-05,0.115,0.23,139.865,174783
5jQI2r1RdgtuT8S3iG8zFC,0.733,0.436,10,-10.489,1,0.08,0.258,0.000573,0.157,0.0976,96.985,202396
3rb0tMq42WfggucPm0HHkA,0.607,0.767,5,-6.069,0,0.0474,0.118,0.0,0.122,0.662,123.998,148629
5IgjP7X4th6nMNDh4akUHb,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,184613
46s57QULU02Voy0Kup6UEb,0.908,0.546,8,-10.491,0,0.323,0.0127,0.0,0.0707,0.225,131.016,170502
4uUG5RXrOk84mYEfFvj3cK,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,175238
0TwiyUWovmU0FrIvarigqc,0.807,0.554,2,-8.336,1,0.0333,0.0871,1.03e-05,0.356,0.464,110.013,167852
0ra2NmkSqQzmRE5DUdNUTb,0.878,0.666,8,-8.721,1,0.343,0.0228,2.63e-06,0.0794,0.367,126.001,162333
58IAvrqh2jjLK1ENTrjZT0,0.563,0.364,5,-10.306,0,0.0285,0.881,1.67e-06,0.0926,0.13,115.098,216000
4bGaXaCUu8Jho3VJgqH9Xm,0.719,0.797,9,-5.755,0,0.0353,0.0365,0.0468,0.132,0.385,109.995,162545
5bu4tu5GBqgUm8bt4fFJBC,0.905,0.655,4,-6.112,0,0.144,0.225,7.4e-05,0.178,0.599,94.999,212217
7Fu44URQxLzaZsz1pwUrgL,0.761,0.687,1,-4.715,1,0.0511,0.0127,0.000151,0.369,0.71,119.979,185000
