id,danceability,energy,key,loudness,acousticness,valence,tempo,cluster
209ucYTS6vWEV5iydrHiOt,0.793,0.372,10,-15.491,0.687,0.482,120.134,64
5je0CDv1Z1hT82Nek1Fjhl,0.578,0.364,2,-15.162,0.683,0.723,78.073,27
0Vl9aGb0dmeiCQ2ATgNK2B,0.592,0.761,5,-6.432,0.614,0.843,88.47,42
0r1Ta1ImfdKXJ0iYqdN3uX,0.437,0.221,11,-20.372,0.992,0.259,130.516,40
2HgcLPRWFrYEgulCUqgosg,0.726,0.371,7,-11.088,0.853,0.961,89.143,27
3QKJELWORZZ7rUZDWeMWSA,0.653,0.319,4,-17.813,0.439,0.845,147.858,65
6aMmz0HbtjJnvUMteBO2kc,0.536,0.647,3,-9.471,0.574,0.788,155.325,52
36SJ7ZFx8J1f1RsewmUwMX,0.82,0.634,9,-13.816,0.128,0.716,116.625,60
204tfkWrfEkzlG6H0iF46C,0.526,0.129,9,-16.818,0.958,0.335,128.908,40
37fHxKAICYRDmYaTujdiBl,0.587,0.132,3,-17.782,0.963,0.437,132.245,5
15ouqiBsgL12olEwP3COsH,0.654,0.393,3,-13.392,0.865,0.533,143.801,47
6MCaOLDl0epJPRN76H5S4N,0.503,0.622,0,-6.89,0.64,0.522,97.704,45
7lOSAvD25iDy2S3kN5vV0L,0.461,0.251,7,-14.056,0.905,0.361,140.984,40
6MVTHqLBpefPuaODvtU3wd,0.528,0.429,2,-12.407,0.221,0.705,145.344,65
0yG6Z2Mmu05inHxiQYtyYu,0.477,0.432,10,-15.219,0.946,0.371,121.599,40
68K8VaazzURRjLf84yaOA3,0.615,0.592,1,-15.665,0.419,0.885,96.325,27
1AxAPXcUcH3nXXeCeG0kGV,0.657,0.169,5,-16.875,0.898,0.456,129.772,5
0yO7Rg00ZJiMMb8pHiBojc,0.715,0.406,4,-17.926,0.735,0.65,104.756,5
6HZMEUcs4M3JQLEJEeQuyB,0.48,0.459,5,-12.927,0.777,0.741,87.3,33
60k2Wv7M2iJHGan07xAn92,0.591,0.394,7,-14.349,0.824,0.782,124.825,64
0dWOiVQwoUYTtXD0VVgmJQ,0.563,0.242,4,-16.004,0.743,0.647,87.771,33
1L9QMIM4agEbJzJiRCd9ZB,0.636,0.159,2,-22.981,0.977,0.334,113.477,5
4fTmfK5efjGjADhAUAjgKl,0.522,0.234,7,-18.992,0.731,0.543,90.71,5
0kfdvJhyb0QHBG1IM9Vlht,0.722,0.208,9,-23.775,0.481,0.88,116.793,5
6fUDdCkEZdi1xIR6iDBGEF,0.614,0.318,5,-13.359,0.79,0.57,89.056,33
7xzMrUmlooPa1Fmp88hlYc,0.575,0.43,8,-13.168,0.822,0.427,82.691,33
1tDz1nEb9scAuW4Tth6rsH,0.599,0.216,6,-14.332,0.93,0.601,96.486,33
75jQTTMlGxJ3zWhrZPpgb6,0.399,0.242,3,-21.4,0.571,0.494,91.251,5
64uaT8HEjYGCN3MbU5esqK,0.454,0.0957,7,-12.636,0.904,0.148,73.109,49
6j4Lx4ZKWhbuBom556ZqlP,0.824,0.0708,8,-19.176,0.925,0.348,124.054,5
5vB2GI7YMfd9Y9ITHT8FC8,0.768,0.409,7,-13.448,0.523,0.597,122.027,64
55mCj2LMr3csP88djkFpPN,0.298,0.181,11,-20.734,0.872,0.102,111.168,57
3ctsORVoVEDUxLpQAL0zOC,0.833,0.199,0,-13.781,0.941,0.831,110.689,27
2gQxSl5kxqqYWEsJ8fhAln,0.431,0.192,2,-19.441,0.986,0.491,128.985,5
7yYKjc8k6UrqeBig0bDeFy,0.578,0.358,11,-18.297,0.828,0.415,119.197,40
60TftyBmMIL7wBdM37KuRj,0.518,0.308,0,-13.429,0.788,0.368,81.149,16
5xrW9LV5TJQZpqzefvEIfB,0.774,0.359,4,-14.533,0.88,0.961,87.355,27
5QolOtPsEh0XNB5oqTvVyO,0.769,0.444,7,-9.287,0.714,0.692,162.853,64
4675yUu8AUbE72T94BkLCD,0.893,0.74,11,-4.936,0.299,0.963,101.025,28
7iL6o9tox1zgHpKUfh9vuC,0.899,0.713,6,-2.752,0.255,0.777,90.051,28
7BMO7O7ImjV8HNTH74Tshv,0.908,0.758,9,-4.753,0.0687,0.87,148.015,69
1bl99Q4umnPomYGv3dQP67,0.663,0.777,11,-4.954,0.277,0.758,92.68,59
1v7L65Lzy0j0vdpRjJewt1,0.686,0.735,2,-4.616,0.00921,0.0596,171.355,41
4xkOaSrkexMciUUogZKVTS,0.548,0.847,1,-3.237,0.0622,0.1,171.447,53
68vgtRHr7iZHpzGpon6Jlo,0.662,0.507,5,-8.238,0.257,0.676,86.412,7
561jH07mF1jHuk7KlaeF0s,0.637,0.678,0,-3.798,0.209,0.254,84.039,29
18vdhCWxqPohnPwicDi3Xr,0.73,0.551,2,-8.172,0.208,0.604,168.118,41
0qcjuYtMWhBjXg0Xwt5SzS,0.94,0.633,8,-3.56,0.0581,0.962,121.003,69
2NBQmPrOEEjA8VbeWOQGxO,0.888,0.632,1,-3.872,0.19,0.662,91.979,30
2eXlwgFPe6HgFaPJO8xQHK,0.802,0.863,1,-3.552,0.0199,0.873,81.008,15
