id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
2zKQmG3vaoRpogBihuBb3p,0.789,0.598,6,-6.85,0,0.282,0.0984,0.0,0.0932,0.957,143.974,226547
7I1fHMDNlHobS8SBUJAUDt,0.733,0.668,2,-5.3,1,0.0685,0.0137,1.57e-06,0.0393,0.713,83.11,346333
0kDL2MQeL800pf9LFQGzQv,0.744,0.69,11,-7.541,1,0.0571,0.524,3.15e-06,0.201,0.865,87.995,257400
0dO79bdqpF4yl3Hpms8Eu7,0.795,0.415,0,-10.466,1,0.153,0.127,8.76e-06,0.0669,0.821,76.28,265880
4DQttwipnILl88cru3BRZx,0.824,0.366,7,-10.96,1,0.145,0.039,0.106,0.0403,0.895,73.949,249533
4SNxXAQ8QMlxLhYVX7nuoE,0.888,0.521,4,-6.845,1,0.306,0.229,0.0,0.0794,0.962,143.879,154333
5FgdPuK51WBYhuMhV0XIBg,0.813,0.395,0,-11.573,1,0.0721,0.0615,6.72e-06,0.0923,0.783,83.117,211960
5iynCtpEY7mx4ou54tHBPH,0.78,0.427,5,-8.371,0,0.126,0.128,1.75e-05,0.0697,0.526,71.665,228760
6pVlTCKpUK1TGfWtaWWcSx,0.822,0.324,0,-12.85,1,0.0422,0.021,0.000302,0.0647,0.698,84.3,237000
6SLXtbre27xZm5j6ThQYS4,0.828,0.354,11,-13.34,0,0.256,0.306,0.0,0.0832,0.788,72.73,201107
155vJ1VsYZ87Gldi1gNss8,0.775,0.652,4,-7.881,0,0.0583,0.149,0.18,0.0458,0.671,137.866,255800
2ocFan1CsWNJqdaIdv2Uux,0.796,0.669,6,-6.333,0,0.0912,0.107,0.000113,0.0891,0.96,147.367,294000
5JqCmd41S3PZ2AS6GuHqcR,0.939,0.65,9,-8.282,0,0.0615,0.00557,0.0,0.0429,0.968,134.727,207773
2CfWRsmVFEIJA3t5HBMvry,0.732,0.461,1,-9.667,0,0.0539,0.328,0.0,0.407,0.767,157.414,234773
