id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
4dk40nfaQav6b4ZsJ9OYUo,0.637,0.85,0,-5.054,1,0.0351,0.00487,0.00018,0.152,0.52,126.106,213973
5vmRQ3zELMLUQPo2FLQ76x,0.685,0.584,5,-10.616,0,0.0276,0.288,0.00918,0.124,0.939,134.546,302413
1TfqLAPs4K3s2rJMoCokcS,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,216933
0cGG2EouYCEEC3xfa0tDFV,0.5,0.501,0,-8.284,0,0.0376,0.462,0.0,0.26,0.623,144.438,153800
48p5E25cFPanxuwCTmTpuL,0.629,0.876,0,-10.141,1,0.0444,0.0864,7.72e-05,0.0431,0.358,118.01,220960
2EGaDf0cPX789H3LNeB03D,0.666,0.871,1,-6.017,0,0.0272,0.27,0.0208,0.263,0.936,108.501,215326
5JOVSWohrjXW0BFTboh8XO,0.803,0.411,6,-16.013,1,0.0521,0.312,0.00344,0.0411,0.654,126.236,188467
21extzX26A1BEXAkllMPT4,0.629,0.915,10,-6.567,1,0.0383,0.0666,0.793,0.0928,0.892,118.345,262000
0kPeymTUiaidv48eRrMISu,0.659,0.541,5,-7.919,1,0.0272,0.0174,0.0,0.198,0.56,116.685,224693
4RvWPyQ5RL0ao9LPZeSouE,0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,251489
2WfaOiMkCvy7F5fcp2zZ8L,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,225280
6ZCyDN2ArlWB4GKAj644Cd,0.566,0.961,4,-3.46,0,0.0354,0.044,0.00106,0.352,0.866,118.988,225880
2LXjhNee4iPRVemx9NSZQ3,0.571,0.417,5,-15.738,1,0.0449,0.134,0.402,0.105,0.384,79.768,294147
3L7RtEcu1Hw3OXrpnthngx,0.731,0.738,9,-8.125,0,0.0377,0.184,0.0,0.214,0.958,117.656,236920
1ChulFMnwxoD74Me8eX2TU,0.554,0.963,6,-3.762,0,0.035,0.000244,0.0702,0.431,0.918,128.175,195147
4d6eqRtpDX7tydHJGDZUBQ,0.799,0.687,2,-5.682,1,0.0431,0.193,0.000188,0.0307,0.965,108.804,215773
6JNJERZGJwDVgkmbohBw7u,0.814,0.686,6,-12.172,0,0.0342,0.219,0.00382,0.155,0.778,106.679,246440
1mCsF9Tw4AkIZOjvZbZZdT,0.917,0.588,10,-11.047,1,0.0607,0.195,0.0,0.0914,0.828,110.077,184480
0pUVeEgZuNyFzIMKp67RbS,0.391,0.815,9,-6.197,1,0.0518,0.0177,0.00226,0.276,0.647,84.383,299240
2K22nUTdyr48JDwI5t906t,0.676,0.695,11,-13.395,0,0.0392,0.326,1.09e-05,0.0462,0.691,114.93,236800
2d8D7uk3tbAThjRkdfrx9c,0.606,0.913,8,-6.039,0,0.0351,0.246,0.00696,0.34,0.838,123.58,266600
4jhsuQCUCJKA5f0bXb6XdJ,0.627,0.802,0,-8.432,1,0.0348,0.197,0.784,0.404,0.867,126.283,232400
2Di0qFNb7ATroCGB3q0Ka7,0.656,0.914,4,-7.471,0,0.0394,0.000943,0.0628,0.159,0.576,113.259,285907
