id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
5XVjNRubJUW0iPhhSWpLCj,0.671,0.882,8,-6.149,0,0.0552,0.00181,0.667,0.285,0.787,136.955,214883
4wtR6HB3XekEengMX17cpc,0.604,0.755,0,-10.761,1,0.0337,0.000298,0.817,0.0625,0.387,137.064,243267
1arJHhz6TxMV50SNvSmGnV,0.591,0.888,4,-6.836,1,0.0354,0.00223,0.699,0.396,0.588,132.885,212133
7xQYVjs4wZNdCwO0EeAWMC,0.576,0.953,10,-8.968,1,0.0362,0.00106,0.49,0.474,0.303,140.042,456480
3e9L9HiHKcfYLAga28Vmcf,0.644,0.981,7,-6.644,0,0.0439,0.0271,9.67e-05,0.11,0.379,140.012,220973
5M2LFOy2TvzBVU5KCd6N8v,0.565,0.942,8,-6.821,1,0.0518,0.00107,0.000393,0.152,0.569,137.972,235000
1CgbwsrNDlFrRuk2ebQ7zr,0.672,0.941,9,-6.427,0,0.0494,0.0276,0.926,0.149,0.754,130.218,193880
71cEGt2SrA5toSCCTVpLMU,0.594,0.996,8,-6.993,0,0.0633,0.0738,0.937,0.956,0.349,138.01,200333
71NJqORRmwlcZSLk0VsFjU,0.553,0.775,1,-10.284,0,0.043,0.212,0.0,0.0728,0.51,139.993,201920
2zhGnnDewN4kBsVzbqjBtX,0.492,0.901,2,-7.03,1,0.045,0.00139,0.0486,0.186,0.104,143.014,208933
2jAjkmZIKwV5VOBiZ3qUUL,0.602,0.847,11,-5.998,0,0.0588,0.00887,0.0308,0.0622,0.0871,138.037,235200
3UPBOL5UtCZmJRwioMkfLD,0.663,0.925,9,-6.775,1,0.0449,0.00683,0.703,0.185,0.843,132.687,221160
0yMoJXVP6hFLV71DRVxRTk,0.49,0.916,10,-8.663,0,0.0461,0.0202,0.939,0.119,0.367,139.976,205053
1pUFYb9peWkK8m1WCKNRjp,0.606,0.897,10,-7.469,0,0.0448,0.176,0.882,0.17,0.393,130.55,208507
0TZL4krCFcuTlYZ8J9kcBX,0.707,0.842,1,-11.393,0,0.0532,0.00618,0.871,0.0628,0.763,131.783,234773
2zI4py4xY6v4vIrAlR6GtP,0.668,0.982,9,-7.979,0,0.0331,0.0437,0.849,0.887,0.591,138.223,233243
3KhoIbIPMmoGthbBAPxgOK,0.578,0.87,0,-6.422,0,0.0323,0.00268,0.412,0.0346,0.667,139.992,227133
0P2sfcfRD0lWw4b8eXegmR,0.631,0.912,9,-7.591,0,0.0362,0.0346,0.539,0.0729,0.329,138.043,216360
6FP4peicCGnib7asns71fs,0.739,0.998,11,-5.669,0,0.137,0.0622,0.922,0.266,0.259,136.513,220360
2LGrLtvYEHrd3Nnot4Hxuw,0.78,0.925,4,-6.715,0,0.046,0.0598,0.36,0.129,0.564,127.968,515173
2FH3BLTMhJlCH1Dmkua5DW,0.683,0.937,11,-6.388,0,0.0335,0.028,0.768,0.141,0.305,126.872,518222
1YddMZzakt7WEZ9y1xGQgR,0.663,0.668,3,-7.733,0,0.0479,0.00522,0.0113,0.0689,0.451,131.966,230147
1YsZB1pLIXR0YgiOxUG9cv,0.652,0.936,1,-8.577,1,0.0293,0.0137,0.00887,0.0566,0.561,137.982,197160
47BPp5TPDpl0wCXB0FWXvg,0.777,0.931,1,-8.543,1,0.0509,0.00364,0.865,0.0602,0.493,137.871,271569
6iyxF36JnQYzqMbpQD861R,0.781,0.779,0,-8.143,1,0.0455,0.0178,0.139,0.386,0.612,134.007,234160
294bZQoJEueD2ys3wrNDmI,0.511,0.793,2,-11.87,0,0.0285,0.000563,0.826,0.123,0.233,136.067,179800
5BZx0wikkFZF2BnaIo2qTy,0.569,0.913,8,-6.973,1,0.0638,0.00618,0.834,0.287,0.504,137.822,259200
3HyU67HfMANQxFg34kHfco,0.557,0.942,9,-6.058,0,0.0452,0.075,0.282,0.0445,0.309,136.023,231307
4RQGig0Vhr4GXmqfklCCyK,0.541,0.931,10,-9.687,0,0.0552,0.326,0.129,0.325,0.148,128.584,189701
47st2meAZHGnG9UJU1YyVU,0.615,0.828,11,-7.666,0,0.0582,0.00134,0.586,0.0577,0.129,137.995,692513
4rfhAoZjGwraqwX1w47uij,0.682,0.524,6,-8.061,0,0.0918,0.0228,0.0138,0.11,0.194,133.998,326267
0gDfkQYmyiq0eZFLof6hbh,0.405,0.882,7,-8.774,1,0.0322,0.00037,0.961,0.1,0.0571,134.782,194947
1GMw17BGY1vDWNJ4xVo9V6,0.67,0.945,6,-6.721,1,0.0365,0.0228,0.686,0.0572,0.806,135.972,199133
6xl5vg5rhmbGI7kNML1IP4,0.561,0.957,0,-6.625,1,0.0428,0.000134,0.736,0.0913,0.334,138.019,217147
5QiCJ1Uxzk1lgzbuk9WH2L,0.595,0.929,4,-9.097,1,0.0447,0.00618,0.889,0.0888,0.844,137.991,175107
6z91SyGlPsllxhnG2Aw0Fb,0.527,0.929,5,-10.314,0,0.03,0.0114,0.853,0.445,0.493,140.071,186480
5zgoEnmbgkhwt7SRdwSGvk,0.533,0.979,8,-5.209,1,0.0446,0.00161,0.00235,0.191,0.374,144.018,202267
2ar1AExas2azDSQbbeuhbL,0.733,0.952,0,-8.691,1,0.0608,0.00561,0.804,0.321,0.499,138.034,272560
5WdcLFYroa1wGlPSaNMQ29,0.545,0.82,6,-10.653,0,0.0374,0.0102,0.00438,0.0521,0.661,130.475,261733
39TCsy3tu2xSPYEo6excU7,0.604,0.759,0,-11.315,1,0.045,0.00308,0.813,0.606,0.519,139.076,187520
1bAHNj6NQQqbRmnlWyOQvC,0.631,0.784,4,-9.279,0,0.0405,0.0183,0.479,0.603,0.572,137.029,584586
5FzfJkVJSn8JrYe58uM5O5,0.545,0.84,1,-10.364,1,0.0323,0.0906,0.0572,0.0582,0.29,141.846,215480
4ApMz0VzAlMf7EAR1Nn3I5,0.519,0.864,0,-8.814,1,0.0334,0.00108,0.891,0.66,0.167,134.992,417307
1u8gw65yb6kRCBqNDFSwHj,0.707,0.906,8,-8.719,1,0.051,0.0357,0.927,0.0864,0.687,137.999,225842
4fmQizrUXpVXaubqpNp5CE,0.553,0.796,6,-9.153,0,0.0385,0.00277,0.0279,0.0437,0.522,130.401,361893
1eohWwYv5zfXgLf5yKCJIS,0.542,0.719,1,-8.744,1,0.0303,0.0529,0.84,0.0859,0.0735,130.944,202867
64AwAe6HpIEGFjy0KoGsmH,0.467,0.941,1,-6.992,1,0.0359,0.00276,0.886,0.453,0.172,134.968,233849
6F85zMy5Ucjr1H6dsdZYYx,0.555,0.61,8,-11.525,0,0.0419,0.262,0.947,0.128,0.517,132.018,329337
5kB1gEMaiHS78xIDT4JbJC,0.54,0.968,3,-6.814,0,0.0481,0.000793,0.85,0.823,0.0631,140.282,669685
